2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
17,ORD REVISIONS SPEC, 1.00 ,ATTORNEY," 65,199 ",1215,ORD REVISIONS SPEC, 1.00 ,60505.38,1215,ORD REVISIONS SPEC,1.00,60505.38,1215,ORD REVISIONS SPEC,1.00,60505.38,1215,ORD REVISIONS SPEC,1,60505.38,1215,ORD REVISIONS SPEC,1,61715.42,1215,ORD REVISIONS SPEC,1,61715.42,1215,ORD REVISIONS SPEC,1,61715.42,1215,ORD REVISIONS SPEC,1,61715.42,1215,ORD REVISIONS SPEC,1,61715.42,1215,ORD REVISIONS SPEC,1,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC, 1.00 ,62332.66,1215,ORD REVISIONS SPEC,1,62904.66,1215,ORD REVISIONS SPEC,1,62904.66,1215,ORD REVISIONS SPEC,1,62904.66,1215,ORD REVISIONS SPEC, 1.00 ,64948.78,1215,ORD REVISIONS SPEC-20, 1.00 ,64948.78,1215,ORD REVISIONS SPEC-20, 1.00 ,64948.78
18,ASST CITY ATTY, 1.00 ,ATTORNEY," 155,695 ",2320,ASST CITY ATTY, 1.00 ,144932.84,2320,ASST CITY ATTY,1.00,144932.84,2320,ASST CITY ATTY,1.00,144932.84,2320,ASST CITY ATTY,1,144932.84,2320,ASST CITY ATTY,1,147831.58,2320,ASST CITY ATTY,1,147831.58,2320,ASST CITY ATTY,1,147831.58,2320,ASST CITY ATTY,1,147831.58,2320,ASST CITY ATTY,1,147831.58,2320,ASST CITY ATTY,1,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY, 1.00 ,149309.68,2320,ASST CITY ATTY,1,149309.68,2320,ASST CITY ATTY,1,149309.68,2320,ASST CITY ATTY,1,149309.68,2320,ASST CITY ATTY, 1.00 ,154162.32,2320,ASST CITY ATTY-23, 1.00 ,154162.32,2320,ASST CITY ATTY-23, 1.00 ,154162.32
19,DEPUTY CITY ATTY, 1.00 ,ATTORNEY," 151,124 ",1288,DEPUTY CITY ATTY, 1.00 ,140171.46,1288,DEPUTY CITY ATTY,1.00,140171.46,1288,DEPUTY CITY ATTY,1.00,140171.46,1288,DEPUTY CITY ATTY,1,140171.46,1288,DEPUTY CITY ATTY,1,142974.78,1288,DEPUTY CITY ATTY,1,142974.78,1288,DEPUTY CITY ATTY,1,142974.78,1288,DEPUTY CITY ATTY,1,142974.78,1288,DEPUTY CITY ATTY,1,142974.78,1288,DEPUTY CITY ATTY,1,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,144404.52,1288,DEPUTY CITY ATTY,1,144404.52,1288,DEPUTY CITY ATTY,1,144404.52,1288,DEPUTY CITY ATTY,1,144404.52,1288,DEPUTY CITY ATTY, 1.00 ,149097.78,1288,DEPUTY CITY ATTY-18, 1.00 ,149097.78,1288,DEPUTY CITY ATTY-18, 1.00 ,149097.78
20,SECRETARY 2-LEGAL, 1.00 ,ATTORNEY," 56,067 ",1249,SECRETARY 2-LEGAL, 1.00 ,49622.56,1249,SECRETARY 2-LEGAL,1.00,49622.56,1249,SECRETARY 2-LEGAL,1.00,49622.56,1249,SECRETARY 2-LEGAL,1,49622.56,1249,SECRETARY 2-LEGAL,1,50614.98,1249,SECRETARY 2-LEGAL,1,51998.44,1249,SECRETARY 2-LEGAL,1,51998.44,1249,SECRETARY 2-LEGAL,1,51998.44,1249,SECRETARY 2-LEGAL,1,51998.44,1249,SECRETARY 2-LEGAL,1,52518.44,1249,SECRETARY 2-LEGAL, 1.00 ,52518.44,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,54094.04,1249,SECRETARY 2-LEGAL,1,54094.04,1249,SECRETARY 2-LEGAL,1,54094.04,1249,SECRETARY 2-LEGAL,1,54094.04,1249,SECRETARY 2-LEGAL, 1.00 ,55852.16,1249,SECRETARY 2-LEGAL-20, 1.00 ,55852.16,VACANT,VACANT,VACANT,VACANT
21,ASST CITY ATTY, 1.00 ,ATTORNEY," 137,339 ",3826,ASST CITY ATTY, 1.00 ,112181.94,3826,ASST CITY ATTY,1.00,112181.94,3826,ASST CITY ATTY,1.00,112181.94,3826,ASST CITY ATTY,1,112181.94,3826,ASST CITY ATTY,1,114425.48,3826,ASST CITY ATTY,1,119498.60,3826,ASST CITY ATTY,1,119498.60,3826,ASST CITY ATTY,1,119498.60,3826,ASST CITY ATTY,1,119498.60,3826,ASST CITY ATTY,1,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,120693.56,3826,ASST CITY ATTY, 1.00 ,126234.16,3826,ASST CITY ATTY,1,126234.16,3826,ASST CITY ATTY,1,126234.16,3826,ASST CITY ATTY,1,126234.16,3826,ASST CITY ATTY, 1.00 ,130336.96,3826,ASST CITY ATTY-23, 1.00 ,130336.96,3826,ASST CITY ATTY-23, 1.00 ,134133.22
23,ASST CITY ATTY, 1.00 ,ATTORNEY," 128,090 ",2708,ASST CITY ATTY, 1.00 ,110293.56,2708,ASST CITY ATTY,1.00,110293.56,2708,ASST CITY ATTY,1.00,110293.56,2708,ASST CITY ATTY,1,110293.56,2708,ASST CITY ATTY,1,112499.40,2708,ASST CITY ATTY,1,112499.40,2708,ASST CITY ATTY,1,106131.48,2708,ASST CITY ATTY,1,106131.48,2708,ASST CITY ATTY,1,106131.48,2708,ASST CITY ATTY,1,107192.80,2708,ASST CITY ATTY, 1.00 ,113624.42,2708,ASST CITY ATTY, 1.00 ,113624.42,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY, 1.00 ,118935.96,2708,ASST CITY ATTY,1,118935.96,2708,ASST CITY ATTY,1,118935.96,2708,ASST CITY ATTY,1,118935.96,2708,ASST CITY ATTY, 1.00 ,122801.38,2708,ASST CITY ATTY-23, 1.00 ,122801.38,2708,ASST CITY ATTY-23, 1.00 ,122801.38
24,ASST CITY ATTY, 1.00 ,ATTORNEY," 154,755 ",4087,ASST CITY ATTY, 1.00 ,144932.84,4087,ASST CITY ATTY,1.00,144932.84,4087,ASST CITY ATTY,1.00,144932.84,4087,ASST CITY ATTY,1,144932.84,4087,ASST CITY ATTY,1,147831.58,4087,ASST CITY ATTY,1,147831.58,4087,ASST CITY ATTY,1,147831.58,4087,ASST CITY ATTY,1,147831.58,4087,ASST CITY ATTY,1,147831.58,4087,ASST CITY ATTY,1,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY, 1.00 ,149309.68,4087,ASST CITY ATTY,1,149309.68,4087,ASST CITY ATTY,1,149309.68,4087,ASST CITY ATTY,1,149309.68,4087,ASST CITY ATTY, 1.00 ,154162.32,4087,ASST CITY ATTY-23, 1.00 ,154162.32,4087,ASST CITY ATTY-23, 1.00 ,154162.32
25,ASST CITY ATTY, 1.00 ,ATTORNEY," 78,825 ",9053,ASST CITY ATTY, 1.00 ,65754.52,9053,ASST CITY ATTY,1.00,65754.52,9053,ASST CITY ATTY,1.00,65754.52,9053,ASST CITY ATTY,1,65754.52,9053,ASST CITY ATTY,1,67069.60,9053,ASST CITY ATTY,1,67069.60,9053,ASST CITY ATTY,1,67069.60,9053,ASST CITY ATTY,1,67069.60,9053,ASST CITY ATTY,1,67069.60,9053,ASST CITY ATTY,1,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY, 1.00 ,71530.42,9053,ASST CITY ATTY,1,71530.42,9053,ASST CITY ATTY,1,71530.42,9053,ASST CITY ATTY,1,71530.42,9053,ASST CITY ATTY, 1.00 ,73855.08,9053,ASST CITY ATTY-23, 1.00 ,73855.08,9053,ASST CITY ATTY-23, 1.00 ,73855.08
26,SECRETARY 2-LEGAL, 1.00 ,ATTORNEY," 58,522 ",4118,SECRETARY 2-LEGAL, 1.00 ,54037.62,4118,SECRETARY 2-LEGAL,1.00,54037.62,4118,SECRETARY 2-LEGAL,1.00,54037.62,4118,SECRETARY 2-LEGAL,1,54037.62,4118,SECRETARY 2-LEGAL,1,55118.44,4118,SECRETARY 2-LEGAL,1,55118.44,4118,SECRETARY 2-LEGAL,1,55118.44,4118,SECRETARY 2-LEGAL,1,55118.44,4118,SECRETARY 2-LEGAL,1,55118.44,4118,SECRETARY 2-LEGAL,1,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,55669.64,4118,SECRETARY 2-LEGAL,1,55669.64,4118,SECRETARY 2-LEGAL,1,55669.64,4118,SECRETARY 2-LEGAL,1,55669.64,4118,SECRETARY 2-LEGAL, 1.00 ,57478.98,4118,SECRETARY 2-LEGAL-20, 1.00 ,57478.98,4118,SECRETARY 2-LEGAL-20, 1.00 ,57478.98
29,ASST CITY ATTY, 1.00 ,ATTORNEY," 97,726 ",1159,ASST CITY ATTY, 1.00 ,88932.74,1159,ASST CITY ATTY,1.00,88932.74,1159,ASST CITY ATTY,1.00,88932.74,1159,ASST CITY ATTY,1,88932.74,1159,ASST CITY ATTY,1,90711.40,1159,ASST CITY ATTY,1,90711.40,1159,ASST CITY ATTY,1,90711.40,1159,ASST CITY ATTY,1,90711.40,1159,ASST CITY ATTY,1,90711.40,1159,ASST CITY ATTY,1,91618.28,1159,ASST CITY ATTY, 1.00 ,91618.28,1159,ASST CITY ATTY, 1.00 ,91618.28,1159,ASST CITY ATTY, 1.00 ,91618.28,1159,ASST CITY ATTY, 1.00 ,91618.28,1159,ASST CITY ATTY, 1.00 ,91618.28,1159,ASST CITY ATTY, 1.00 ,94286.92,1159,ASST CITY ATTY, 1.00 ,94286.92,1159,ASST CITY ATTY, 1.00 ,94286.92,1159,ASST CITY ATTY,1,94286.92,1159,ASST CITY ATTY,1,94286.92,1159,ASST CITY ATTY,1,94286.92,1159,ASST CITY ATTY, 1.00 ,97351.28,1159,ASST CITY ATTY-23, 1.00 ,97351.28,1159,ASST CITY ATTY-23, 1.00 ,97351.28
33,ALDERMAN, -   ,CMN CNCL, -   ,1032,ALDERMAN, 1.00 ,12692.16,1032,ALDERMAN,1.00,12882.60,1032,ALDERMAN,1.00,12882.60,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN,1,12979.20,1032,ALDERMAN, 1.00 ,12979.72,1032,ALDERMAN, 1.00 ,12979.72,1032,ALDERMAN, 1.00 ,12979.72,1032,ALDERMAN, 1.00 ,12979.72,1032,ALDERMAN, 1.00 ,12979.72,1032,ALDERMAN, 1.00 ,13271.70,1032,ALDERMAN, 1.00 ,13271.70,1032,ALDERMAN, 1.00 ,13271.70,1032,ALDERMAN,1,13271.70,1032,ALDERMAN,1,13271.70,1032,ALDERMAN,1,13271.70,1032,ALDERMAN, 1.00 ,13271.70,1032,ALDER-19, 1.00 ,13271.70,1032,ALDER-19, 1.00 ,13271.70
37,COUNCIL PRESIDENT, -   ,CMN CNCL, -   ,4130,COUNCIL PRES, 1.00 ,15444.00,4130,COUNCIL PRESIDENT,1.00,15675.72,4130,COUNCIL PRESIDENT,1.00,15675.72,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.20,1402,COUNCIL PRESIDENT,1,15793.70,1402,COUNCIL PRESIDENT, 1.00 ,15793.70,1402,COUNCIL PRESIDENT, 1.00 ,15793.70,1402,COUNCIL PRESIDENT, 1.00 ,15793.70,1402,COUNCIL PRESIDENT, 1.00 ,15793.70,7635,COUNCIL PRESIDENT, 1.00 ,15793.70,7635,COUNCIL PRESIDENT, 1.00 ,16149.12,7635,COUNCIL PRESIDENT, 1.00 ,16149.12,7635,COUNCIL PRESIDENT, 1.00 ,16149.12,7635,COUNCIL PRESIDENT,1,16149.12,7635,COUNCIL PRESIDENT,1,16149.12,7635,COUNCIL PRESIDENT,1,16149.12,7635,COUNCIL PRESIDENT, 1.00 ,16149.12,7635,COUNCIL PRESIDENT-19, 1.00 ,16149.12,7635,COUNCIL PRESIDENT-19, 1.00 ,16149.12
43,COUNCIL VICE PRESIDE, -   ,CMN CNCL, -   ,1402,COUNCIL PRES PRO TEM, 1.00 ,13692.36,1402,COUNCIL PRES PRO TEM-19,1.00,13897.80,1402,COUNCIL PRES PRO TEM-19,1.00,13897.80,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE,1,14001.96,7635,COUNCIL VICE PRESIDE, 1.00 ,14002.30,7635,COUNCIL VICE PRESIDE, 1.00 ,14002.30,7635,COUNCIL VICE PRESIDE, 1.00 ,14002.30,7635,COUNCIL VICE PRESIDE, 1.00 ,14002.30,4778,COUNCIL VICE PRESIDE, 1.00 ,14002.30,4778,COUNCIL VICE PRESIDE, 1.00 ,14317.42,4778,COUNCIL VICE PRESIDE, 1.00 ,14317.42,4778,COUNCIL VICE PRESIDE, 1.00 ,14317.42,4778,COUNCIL VICE PRESIDE,1,14317.42,4778,COUNCIL VICE PRESIDE,1,14317.42,4778,COUNCIL VICE PRESIDE,1,14317.42,4778,COUNCIL VICE PRESIDE, 1.00 ,14317.42,4778,COUNCIL VICE PRESIDENT-19, 1.00 ,14317.42,4778,COUNCIL VICE PRESIDENT-19, 1.00 ,14317.42
45,LEGIS MGMT SYS ANALY, 1.00 ,CMN CNCL," 66,429 ",3739,ADMIN ASST, 1.00 ,62212.80,3739,ADMIN ASST,1.00,62212.80,3739,ADMIN ASST,1.00,62212.80,3739,ADMIN ASST,1,62212.80,3739,ADMIN ASST,1,63457.16,3739,ADMIN ASST,1,63457.16,3739,ADMIN ASST,1,63457.16,3739,ADMIN ASST,1,63457.16,3739,ADMIN ASST,1,63457.16,3739,ADMIN ASST,1,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,ADMIN ASST, 1.00 ,64091.56,3739,LEGIS MGMT SYS ANALY, 1.00 ,69262.18,3739,LEGIS MGMT SYS ANALY,1,69262.18,3739,LEGIS MGMT SYS ANALY,1,69262.18,3739,LEGIS MGMT SYS ANALY,1,69262.18,3739,LEGIS MGMT SYS ANALY, 1.00 ,71513.26,3739,LEGIS MGMT SYSTEM SPEC, 1.00 ,71513.26,3739,LEGIS MGMT SYSTEM SPEC, 1.00 ,71513.26
54,PROGRAM ASST 2-17, 1.00 ,CMN CNCL," 58,403 ",4110,SECRETARY 1, 1.00 ,54072.72,4110,SECRETARY 1,1.00,54072.72,4110,SECRETARY 1,1.00,54072.72,4110,SECRETARY 1,1,54072.72,4110,SECRETARY 1,1,55154.06,4110,SECRETARY 1,1,55154.06,4110,SECRETARY 1,1,55154.06,4110,SECRETARY 1,1,55660.28,4110,SECRETARY 1,1,55660.28,4110,SECRETARY 1,1,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1, 1.00 ,56216.68,4110,SECRETARY 1,1,56216.68,4110,PROGRAM ASST 2-17,1,59541.30,4110,PROGRAM ASST 2-17,1,59541.30,4110,PROGRAM ASST 2-17, 1.00 ,61476.22,4110,PROGRAM ASST 2-17, 1.00 ,61476.22,4110,PROGRAM ASST 2-17, 1.00 ,61476.22
56,SECY TO MAYOR, 1.00 ,MAYOR," 58,164 ",9084,SECY TO MAYOR, 1.00 ,50836.50,9084,SECY TO MAYOR,1.00,50836.50,9084,SECY TO MAYOR,1.00,50836.50,9084,SECY TO MAYOR,1,50836.50,9084,SECY TO MAYOR,1,51853.36,9084,SECY TO MAYOR,1,51853.36,9084,SECY TO MAYOR,1,51853.36,9084,SECY TO MAYOR,1,51853.36,9084,SECY TO MAYOR,1,51853.36,9084,SECY TO MAYOR,1,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR, 1.00 ,54081.30,9084,SECY TO MAYOR,1,54081.30,9084,SECY TO MAYOR,1,54081.30,9084,SECY TO MAYOR,1,54081.30,9084,SECY TO MAYOR, 1.00 ,57776.68,9084,SECY TO MAYOR-19, 1.00 ,57776.68,9084,SECY TO MAYOR-19, 1.00 ,57776.68
57,MAYORAL OFF CLK, 1.00 ,MAYOR," 51,663 ",9029,MAYORAL OFF CLK, 1.00 ,45216.34,9029,MAYORAL OFF CLK,1.00,45216.34,9029,MAYORAL OFF CLK,1.00,45216.34,9029,MAYORAL OFF CLK,1,45216.34,9029,MAYORAL OFF CLK,1,46120.62,9029,MAYORAL OFF CLK,1,46120.62,9029,MAYORAL OFF CLK,1,46120.62,9029,MAYORAL OFF CLK,1,46120.62,9029,MAYORAL OFF CLK,1,47353.28,9029,MAYORAL OFF CLK,1,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,9029,MAYORAL OFF CLK, 1.00 ,47826.74,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,3258,MAYORAL OFF CLK-17, 1.00 ,56988.36
58,MAYORAL OFF CLK, 1.00 ,MAYOR," 51,286 ",9227,MAYORAL OFF CLK, 1.00 ,45216.34,9227,MAYORAL OFF CLK,1.00,45216.34,9227,MAYORAL OFF CLK,1.00,45216.34,9227,MAYORAL OFF CLK,1,45216.34,9227,MAYORAL OFF CLK,1,46120.62,9227,MAYORAL OFF CLK,1,46120.62,9227,MAYORAL OFF CLK,1,46120.62,9227,MAYORAL OFF CLK,1,46120.62,9227,MAYORAL OFF CLK,1,46120.62,9227,MAYORAL OFF CLK,1,46581.86,9227,MAYORAL OFF CLK, 1.00 ,46581.86,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK, 1.00 ,47826.74,9227,MAYORAL OFF CLK,1,47826.74,9227,MAYORAL OFF CLK,1,47826.74,9227,MAYORAL OFF CLK,1,47826.74,9227,MAYORAL OFF CLK, 1.00 ,49381.02,9227,MAYORAL OFF CLK-17, 1.00 ,49381.02,9227,MAYORAL OFF CLK-17, 1.00 ,51215.58
59,DEPUTY MAYOR 2, 1.00 ,MAYOR," 125,655 ",1128,DEPUTY MAYOR 2, 1.00 ,117679.12,1128,DEPUTY MAYOR 2,1.00,117679.12,1128,DEPUTY MAYOR 2,1.00,117679.12,1128,DEPUTY MAYOR 2,1,117679.12,1128,DEPUTY MAYOR 2,1,120032.90,1128,DEPUTY MAYOR 2,1,120032.90,1128,DEPUTY MAYOR 2,1,120032.90,1128,DEPUTY MAYOR 2,1,120032.90,1128,DEPUTY MAYOR 2,1,120032.90,1128,DEPUTY MAYOR 2,1,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,121233.06,1128,DEPUTY MAYOR 2,1,121233.06,1128,DEPUTY MAYOR 2,1,121233.06,1128,DEPUTY MAYOR 2,1,121233.06,1128,DEPUTY MAYOR 2, 1.00 ,125173.10,1128,DEPUTY MAYOR 2-19, 1.00 ,125173.10,1128,DEPUTY MAYOR 2-19, 1.00 ,125173.10
60,DEPUTY MAYOR 2, 1.00 ,MAYOR," 117,664 ",5757,DEPUTY MAYOR 2, 1.00 ,95074.72,5757,DEPUTY MAYOR 2,1.00,95074.72,5757,DEPUTY MAYOR 2,1.00,95074.72,5757,DEPUTY MAYOR 2,1,95074.72,5757,DEPUTY MAYOR 2,1,101623.86,5757,DEPUTY MAYOR 2,1,101623.86,5757,DEPUTY MAYOR 2,1,101623.86,5757,DEPUTY MAYOR 2,1,101623.86,5757,DEPUTY MAYOR 2,1,101623.86,5757,DEPUTY MAYOR 2,1,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,102640.20,5757,DEPUTY MAYOR 2, 1.00 ,105719.38,5757,DEPUTY MAYOR 2, 1.00 ,110901.96,5757,DEPUTY MAYOR 2, 1.00 ,110901.96,5757,DEPUTY MAYOR 2,1,110901.96,5757,DEPUTY MAYOR 2,1,110901.96,5757,DEPUTY MAYOR 2,1,110901.96,5757,DEPUTY MAYOR 2, 1.00 ,114506.08,5757,DEPUTY MAYOR 2-19, 1.00 ,114506.08,5757,DEPUTY MAYOR 2-19, 1.00 ,114506.08
